First Name,Last Name,Link,Nick Name,Wins,Losses,Draws,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Patrick,Kaase,http://ufcstats.com/fighter-details/b180f05acb24d430,Kamikaze,1,2,0,"5' 9""",185 lbs.,--,,--,4.40,67%,0.53,50%,0.00,0%,50%,0.0
Emily,Kagan,http://ufcstats.com/fighter-details/c1ea9d56cd953586,,3,3,0,"5' 3""",115 lbs.,--,,"Jul 14, 1981",2.60,36%,5.29,38%,1.86,14%,50%,0.0
Oron,Kahlon,http://ufcstats.com/fighter-details/00a35c92b03992b0,,16,1,0,"5' 8""",135 lbs.,"70""",Orthodox,"Nov 04, 1984",0.85,37%,4.93,36%,0.00,0%,40%,0.0
,Kaiwen,http://ufcstats.com/fighter-details/0565706b1e7f7e7c,The Underdog,15,6,0,"5' 8""",145 lbs.,"71""",Switch,"Oct 16, 1995",4.32,49%,3.74,54%,0.78,33%,92%,0.0
Sirwan,Kakai,http://ufcstats.com/fighter-details/2525a853486ee670,Zohan,12,5,0,"5' 5""",135 lbs.,--,Orthodox,"Oct 03, 1989",3.57,41%,4.63,62%,4.00,42%,83%,0.0
Saidyokub,Kakhramonov,http://ufcstats.com/fighter-details/50a28b9f8314e008,,10,3,0,"5' 8""",135 lbs.,"69""",Orthodox,"Nov 14, 1995",2.05,51%,0.88,58%,6.63,48%,83%,1.9
Geza,Kalman,http://ufcstats.com/fighter-details/304fcd812f12c589,,4,9,0,"6' 1""",200 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bryson,Kamaka,http://ufcstats.com/fighter-details/9336e86cfd4ceaa1,,12,20,1 (1 NC),"5' 11""",170 lbs.,--,Orthodox,--,9.47,60%,12.63,0%,0.00,0%,100%,0.0
Kai,Kamaka,http://ufcstats.com/fighter-details/eee0ef3e2b14816b,The Fighting Hawaiian,8,4,1,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 05, 1995",4.96,57%,5.29,55%,1.93,58%,52%,0.3
Shah,Kamali,http://ufcstats.com/fighter-details/a46ab6c64d321c2d,,4,0,0,--,265 lbs.,--,,"Oct 25, 1998",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Shuya,Kamikubo,http://ufcstats.com/fighter-details/a46fa1c7972548d0,Stealth,13,2,1,"5' 5""",135 lbs.,"68""",Switch,"Apr 12, 1993",3.83,54%,4.90,47%,1.50,15%,0%,0.5
Daichi,Kamiya,http://ufcstats.com/fighter-details/a497e228cce8a64f,,6,1,0 (1 NC),"5' 8""",155 lbs.,"68""",Southpaw,"Apr 19, 1999",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Martin,Kampmann,http://ufcstats.com/fighter-details/8b69839f3555a67b,The Hitman,20,7,0,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 17, 1982",3.22,42%,3.28,62%,1.86,41%,78%,2.0
Koya,Kanda,http://ufcstats.com/fighter-details/b42d3a1469dab722,Bushido,12,5,0,"5' 9""",145 lbs.,"75""",Southpaw,"Dec 20, 1995",3.63,41%,2.90,53%,2.00,18%,100%,0.0
Bharat,Kandare,http://ufcstats.com/fighter-details/efd2b3e9bb7965a4,Daring,5,3,0,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987",0.70,10%,1.88,72%,0.00,0%,0%,0.0
Hiromitsu,Kanehara,http://ufcstats.com/fighter-details/eda579d906cf0ca2,,19,27,5,"5' 10""",200 lbs.,--,Orthodox,"Oct 05, 1970",0.76,22%,4.39,40%,0.00,0%,40%,0.4
Masanori,Kanehara,http://ufcstats.com/fighter-details/f3a078277b3b8ff4,,26,12,5,"5' 7""",135 lbs.,"67""",Orthodox,"Nov 19, 1982",1.88,49%,1.63,62%,1.44,50%,63%,0.9
Ken,Kaneko,http://ufcstats.com/fighter-details/5345f86680378fc1,,0,3,0,"6' 0""",161 lbs.,--,Orthodox,--,0.00,0%,0.94,42%,0.00,0%,0%,3.5
Denis,Kang,http://ufcstats.com/fighter-details/3c241737a6069b9f,,35,16,2 (2 NC),"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977",2.27,35%,1.65,67%,2.51,65%,38%,1.2
Kyung Ho,Kang,http://ufcstats.com/fighter-details/a7897d200692ab64,Mr. Perfect,19,11,0 (1 NC),"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987",3.13,47%,3.32,54%,1.97,50%,68%,0.8
Manel,Kape,http://ufcstats.com/fighter-details/5d1b7e3dd9e11074,StarBoy,21,7,0,"5' 5""",125 lbs.,"68""",Southpaw,"Nov 14, 1993",5.04,55%,4.05,57%,0.42,30%,81%,0.3
David,Kaplan,http://ufcstats.com/fighter-details/5669b828e7e11329,Diamond,3,4,0,"5' 7""",155 lbs.,--,Orthodox,"Nov 16, 1979",2.88,46%,4.32,67%,4.88,43%,0%,0.7
Kai,Kara-France,http://ufcstats.com/fighter-details/853eb0dd5c0e2149,Don't Blink,25,11,0 (1 NC),"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993",4.56,39%,3.22,65%,0.61,33%,88%,0.0
Georgi,Karakhanyan,http://ufcstats.com/fighter-details/43292ecf0e72c143,Insane,26,7,1,"5' 8""",145 lbs.,--,,"May 29, 1985",4.49,39%,5.00,54%,1.41,50%,33%,1.9
Alex,Karalexis,http://ufcstats.com/fighter-details/e361e5c858af6ff1,The Assassin,10,6,0,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977",2.57,42%,2.39,54%,2.70,45%,86%,0.9
Ernesta,Kareckaite,http://ufcstats.com/fighter-details/e4faa79383c9f214,Heavy-Handed,6,1,1,"5' 9""",125 lbs.,"71""",Orthodox,"Jul 05, 1998",7.38,42%,6.09,48%,0.67,66%,82%,0.0
Impa,Kasanganay,http://ufcstats.com/fighter-details/257b0c8d6f199895,Tshilobo,9,2,0,"5' 11""",170 lbs.,"75""",Orthodox,"Jan 17, 1994",4.96,48%,3.66,58%,1.75,58%,66%,0.2
Jinnosuke,Kashimura,http://ufcstats.com/fighter-details/4a9120fa47bafef0,,4,2,0,"5' 7""",155 lbs.,"71""",Southpaw,"Aug 12, 2001",0.21,50%,7.37,25%,3.16,100%,0%,6.3
Nadia,Kassem,http://ufcstats.com/fighter-details/6e7506127408aa9e,,5,2,0,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 15, 1995",3.13,41%,4.48,48%,0.46,33%,40%,2.8
Yusuke,Kasuya,http://ufcstats.com/fighter-details/3058888c33149a53,,9,3,0,"5' 7""",155 lbs.,--,Southpaw,"Nov 16, 1989",2.17,44%,4.34,48%,1.36,33%,0%,0.0
Tetsuji,Kato,http://ufcstats.com/fighter-details/542db012217ecb83,,20,10,0,--,155 lbs.,--,Orthodox,--,1.20,29%,2.10,70%,2.00,57%,80%,0.5
Hisaki,Kato,http://ufcstats.com/fighter-details/ebf1c247b2cba375,,8,2,0,"6' 0""",185 lbs.,--,,"Sep 17, 1982",2.80,48%,1.72,68%,1.62,100%,0%,0.0
