First Name,Last Name,Link,Nick Name,Wins,Losses,Draws,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Dong Hyun,Ma,http://ufcstats.com/fighter-details/98a6b2361045898f,Maestro,16,11,3,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988",2.84,41%,4.10,54%,1.27,53%,33%,0.0
Pawan,Maan,http://ufcstats.com/fighter-details/450bacdacd706bcd,,7,3,1,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 06, 1986",0.89,44%,2.98,43%,0.00,0%,0%,0.0
William,Macario,http://ufcstats.com/fighter-details/ed74afc8b5b47a61,Patolino,9,3,0,"5' 11""",170 lbs.,"75""",Orthodox,"Jul 01, 1991",4.92,54%,3.96,65%,1.85,45%,78%,0.0
Jason,MacDonald,http://ufcstats.com/fighter-details/2be6596a9db33bf5,The Athlete,25,16,0,"6' 3""",185 lbs.,"80""",Orthodox,"Jun 03, 1975",1.55,52%,2.70,46%,1.43,16%,35%,2.0
Rob,MacDonald,http://ufcstats.com/fighter-details/f3388d2cf7ab3f64,Maximus,5,4,0,"6' 3""",205 lbs.,"78""",Orthodox,"Sep 05, 1978",1.80,50%,2.04,46%,7.19,80%,80%,5.4
Rory,MacDonald,http://ufcstats.com/fighter-details/cbd5d3cdd862e90e,Red King,19,4,0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",3.75,42%,2.80,62%,1.77,47%,88%,0.4
Ryan,MacDonald,http://ufcstats.com/fighter-details/35e1f9984ed64206,Main Event,10,2,0,"5' 11""",135 lbs.,"71""",Switch,"Mar 18, 1993",2.28,29%,6.49,45%,0.00,0%,0%,0.0
Clayton,MacFarlane,http://ufcstats.com/fighter-details/39831e62d12e7ad1,,4,1,0,--,170 lbs.,--,,--,1.33,52%,1.82,55%,1.05,33%,37%,0.0
Ilima,Macfarlane,http://ufcstats.com/fighter-details/8cf90e41646491fd,,6,0,0,"5' 4""",125 lbs.,--,,--,4.13,43%,2.93,65%,0.00,0%,50%,1.0
Valesca,Machado,http://ufcstats.com/fighter-details/a1a91dbf41a029c4,Tina Black,8,3,0 (1 NC),"5' 4""",115 lbs.,"63""",Orthodox,"May 06, 1996",2.40,32%,2.87,64%,0.00,0%,76%,0.0
Caio,Machado,http://ufcstats.com/fighter-details/89839250eb25c9c1,Bigfoot,8,4,1,"6' 4""",250 lbs.,"78""",Southpaw,"Jul 20, 1994",5.82,53%,2.87,63%,0.00,0%,82%,0.0
Ian,Machado Garry,http://ufcstats.com/fighter-details/442c9011034ae1fd,The Future,16,1,0,"6' 3""",170 lbs.,"74""",Orthodox,"Nov 17, 1997",4.77,54%,2.77,51%,1.02,33%,73%,0.4
Lyoto,Machida,http://ufcstats.com/fighter-details/f7a7f7118d4b01b6,The Dragon,24,8,0,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",2.59,53%,1.57,61%,1.21,65%,75%,0.4
War,Machine,http://ufcstats.com/fighter-details/cd7bafbeee1f29a0,,14,5,0,"5' 11""",170 lbs.,--,Orthodox,"Nov 30, 1981",2.32,60%,3.17,43%,1.16,50%,40%,0.0
Anthony,Macias,http://ufcstats.com/fighter-details/dedc3bb440d09554,Mad Dog,26,18,0,"5' 9""",185 lbs.,--,Switch,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Pauline,Macias,http://ufcstats.com/fighter-details/e88b83dea18f5d31,PITA,4,1,0,"5' 4""",115 lbs.,"64""",Southpaw,"Jun 27, 1988",0.80,29%,4.60,42%,2.00,18%,0%,0.0
Reza,Madadi,http://ufcstats.com/fighter-details/e25bcbcdaf6537a1,Mad Dog,14,6,0,"5' 11""",155 lbs.,"73""",Orthodox,"Jun 20, 1978",2.51,46%,3.31,66%,3.17,33%,89%,0.5
Don,Madge,http://ufcstats.com/fighter-details/68c7ad953455c73f,Magic Man,9,3,1,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990",2.08,52%,0.74,67%,2.22,25%,80%,0.7
Ryan,Madigan,http://ufcstats.com/fighter-details/a8d521d913df4e31,,5,3,0,"6' 0""",170 lbs.,--,Orthodox,--,0.00,0%,3.35,47%,0.00,0%,0%,0.0
Victor,Madrigal,http://ufcstats.com/fighter-details/cc63a5f0089d8ba9,Periquito,15,5,0,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 16, 1990",2.31,38%,9.56,50%,0.00,0%,0%,0.0
Jon,Madsen,http://ufcstats.com/fighter-details/7691a80e6ca3e55b,,8,2,0,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980",2.46,41%,1.18,81%,1.32,71%,70%,0.0
Mark,Madsen,http://ufcstats.com/fighter-details/da0995f19b749cfa,The Olympian,12,2,0,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 23, 1984",3.56,49%,3.97,52%,2.86,66%,62%,0.0
Yoshiro,Maeda,http://ufcstats.com/fighter-details/a4bf17bd3ba3423b,,35,16,5,"5' 7""",139 lbs.,"68""",Southpaw,"Oct 31, 1981",2.36,33%,2.55,63%,2.93,51%,50%,0.7
Leonardo,Mafra,http://ufcstats.com/fighter-details/8bbc0cfc01bc1ba1,Macarrao,13,4,0,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 25, 1989",4.55,48%,4.38,43%,2.12,83%,69%,0.4
Vinny,Magalhaes,http://ufcstats.com/fighter-details/88a9bc81271ccd89,Pezao,14,9,0 (1 NC),"6' 3""",205 lbs.,"75""",Orthodox,"Jul 02, 1984",2.14,24%,3.97,68%,1.55,44%,66%,0.8
Vinicius,Magalhaes,http://ufcstats.com/fighter-details/1b583c64c23f0c7f,Draculinho,2,1,0,--,145 lbs.,--,,"Jul 30, 1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Caio,Magalhaes,http://ufcstats.com/fighter-details/0c5c66ddd1886b83,Hellboy,10,3,0,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987",2.27,40%,2.78,56%,1.05,15%,58%,1.6
Bernardo,Magalhaes,http://ufcstats.com/fighter-details/7a613f78dd7ee8f8,Trekko,13,4,0,"5' 9""",155 lbs.,--,Orthodox,"Apr 08, 1981",1.80,27%,3.37,68%,0.00,0%,0%,0.5
Eric,Magana,http://ufcstats.com/fighter-details/8db1b36dde268ef6,,1,1,0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brandon,Magana,http://ufcstats.com/fighter-details/2015c944226ad2df,,6,2,0,--,170 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
