First Name,Last Name,Link,Nick Name,Wins,Losses,Draws,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Yusup,Saadulaev,http://ufcstats.com/fighter-details/b1669a810fae4220,Maestro,16,4,1 (1 NC),"5' 6""",135 lbs.,--,,"Mar 31, 1985",0.57,45%,0.96,66%,5.73,60%,0%,1.0
Cameron,Saaiman,http://ufcstats.com/fighter-details/3c8a5200436e19f3,MSP,9,3,0,"5' 8""",135 lbs.,"67""",Southpaw,"Dec 20, 2000",5.30,46%,4.14,51%,0.89,28%,47%,0.7
Pete,Sabala,http://ufcstats.com/fighter-details/7956f026e2672c47,,3,15,0,--,135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Danny,Sabatello,http://ufcstats.com/fighter-details/cb7ee07982de2a28,Italian Gangster,9,1,0,"5' 10""",135 lbs.,"71""",Orthodox,"Mar 31, 1993",2.07,57%,0.20,25%,3.00,75%,100%,1.0
Pat,Sabatini,http://ufcstats.com/fighter-details/b8bbdeff718dbb7d,,20,5,0,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 09, 1990",1.87,62%,1.22,49%,3.98,48%,50%,1.8
Amir,Sadollah,http://ufcstats.com/fighter-details/2650e2f846a30f64,,6,5,0,"5' 10""",170 lbs.,"75""",Orthodox,"Aug 27, 1980",4.71,46%,3.55,60%,0.57,27%,60%,0.3
Nazim,Sadykhov,http://ufcstats.com/fighter-details/ff62013d2fce6d13,Black Wolf,10,1,1,"5' 10""",155 lbs.,"69""",Southpaw,"May 16, 1994",4.70,46%,5.66,47%,1.54,62%,75%,0.3
Frankie,Saenz,http://ufcstats.com/fighter-details/9ba2226646046b63,,13,7,0,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 12, 1980",3.94,47%,3.50,52%,1.74,31%,61%,0.1
Saparbeg,Safarov,http://ufcstats.com/fighter-details/88d7b6d8230e1f3f,,9,3,0,"6' 1""",185 lbs.,"78""",Orthodox,"Oct 14, 1986",4.03,48%,2.96,47%,2.52,41%,33%,0.0
Tarec,Saffiedine,http://ufcstats.com/fighter-details/0749d968e932df53,Sponge,16,7,0,"5' 10""",170 lbs.,"70""",Switch,"Sep 06, 1986",4.05,47%,3.06,62%,0.52,36%,84%,0.1
Jason,Saggo,http://ufcstats.com/fighter-details/4ac1ecf8ce59ef23,,12,4,0,"5' 11""",155 lbs.,"71""",Orthodox,"Nov 23, 1985",2.50,39%,2.94,52%,2.33,40%,23%,0.0
Kiru,Sahota,http://ufcstats.com/fighter-details/296a120cb880477b,,12,3,0,"5' 10""",125 lbs.,"73""",Orthodox,"May 28, 1995",4.05,52%,2.64,41%,0.92,33%,50%,0.5
Tatsuya,Saika,http://ufcstats.com/fighter-details/cc4e571964b084d4,Yanbo,11,5,0,"6' 0""",155 lbs.,"73""",Orthodox,"Sep 18, 1990",6.67,44%,9.91,43%,0.00,0%,66%,0.0
Mridul,Saikia,http://ufcstats.com/fighter-details/96c76dd695eb3b88,Crusher,8,1,0,"5' 7""",125 lbs.,"68""",Orthodox,"May 09, 1997",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kaushik,Saikumar,http://ufcstats.com/fighter-details/6a6c4709ebc5499a,The Pride of Chennai,5,0,0,--,135 lbs.,--,,"Dec 11, 1997",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Benoit,Saint Denis,http://ufcstats.com/fighter-details/c2299ec916bc7c56,God of War,14,3,0 (1 NC),"5' 11""",155 lbs.,"73""",Southpaw,"Dec 18, 1995",5.39,55%,4.61,41%,4.19,39%,70%,1.5
Ovince,Saint Preux,http://ufcstats.com/fighter-details/50db8711c70196cd,,27,18,0,"6' 3""",205 lbs.,"80""",Southpaw,"Apr 08, 1983",3.03,47%,3.33,47%,1.09,36%,67%,0.5
Lukasz,Sajewski,http://ufcstats.com/fighter-details/fb41432b622992a9,Wookie,13,3,0,"5' 8""",155 lbs.,"71""",Orthodox,"Nov 27, 1990",2.06,35%,3.88,57%,1.01,25%,66%,0.0
Yukio,Sakaguchi,http://ufcstats.com/fighter-details/94a5aaf573f780ad,,6,7,0,"5' 9""",185 lbs.,--,Orthodox,"Jul 26, 1973",0.30,25%,2.40,50%,4.50,100%,0%,9.0
Augusto,Sakai,http://ufcstats.com/fighter-details/441eacbe20e0e80b,,16,5,1,"6' 3""",265 lbs.,"77""",Orthodox,"May 09, 1991",4.60,49%,3.83,48%,0.23,40%,56%,0.0
Alessio,Sakara,http://ufcstats.com/fighter-details/7f955f71fa2ce7ac,Legionarius,19,11,0 (2 NC),"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981",3.96,47%,2.80,59%,2.18,78%,62%,0.0
Wataru,Sakata,http://ufcstats.com/fighter-details/d7907a9a968e4d29,,11,14,0,"5' 9""",195 lbs.,--,Southpaw,"Mar 11, 1973",1.11,61%,2.08,31%,0.00,0%,0%,0.0
Gokhan,Saki,http://ufcstats.com/fighter-details/4690d47bf725fd98,The Rebel,1,2,0,"6' 0""",205 lbs.,"73""",Orthodox,"Oct 19, 1983",7.09,58%,4.57,53%,0.00,0%,100%,0.0
Kazushi,Sakuraba,http://ufcstats.com/fighter-details/9b5b5a75523728f3,The Gracie Hunter,26,17,1 (2 NC),"6' 0""",185 lbs.,--,Southpaw,"Jul 14, 1969",1.26,41%,2.03,51%,1.26,31%,48%,1.7
Hayato,Sakurai,http://ufcstats.com/fighter-details/85e26e2468b4e82f,Mach,38,13,2,"5' 7""",168 lbs.,--,Orthodox,"Aug 24, 1975",2.45,49%,1.94,59%,1.87,69%,56%,0.3
