First Name,Last Name,Link,Nick Name,Wins,Losses,Draws,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Tom,Aaron,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,,5,3,0,--,155 lbs.,--,,"Jul 13, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Danny,Abbadi,http://ufcstats.com/fighter-details/15df64c02b6b0fde,The Assassin,4,6,0,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,0.00,0%,77%,0.0
Nariman,Abbasov,http://ufcstats.com/fighter-details/59a9d6dac61c2540,Bayraktar,28,4,0,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",3.00,20%,5.67,46%,0.00,0%,66%,0.0
David,Abbott,http://ufcstats.com/fighter-details/b361180739bed4b0,Tank,10,15,0,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",1.35,30%,3.55,38%,1.07,33%,66%,0.0
Hamdy,Abdelwahab,http://ufcstats.com/fighter-details/3329d692aea4dc28,The Hammer,6,0,0 (1 NC),"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993",3.40,51%,3.87,51%,2.00,80%,100%,0.0
Mansur,Abdul-Malik,http://ufcstats.com/fighter-details/841695e02c99a521,,8,0,0,"6' 2""",185 lbs.,"79""",Orthodox,"Oct 07, 1997",5.29,54%,3.84,49%,0.75,33%,82%,0.0
Shamil,Abdurakhimov,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,Abrek,20,8,0,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.41,44%,3.02,55%,1.01,23%,45%,0.1
Hiroyuki,Abe,http://ufcstats.com/fighter-details/c0ed7b208197e8de,Abe Ani,8,15,3 (1 NC),"5' 6""",145 lbs.,--,Orthodox,--,1.71,36%,3.11,63%,0.00,0%,33%,0.0
Daichi,Abe,http://ufcstats.com/fighter-details/5140122c3eecd307,,6,2,0,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.80,33%,4.49,56%,0.33,50%,0%,0.0
Papy,Abedi,http://ufcstats.com/fighter-details/c9f6385af6df66d7,Makambo,10,4,0,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",2.80,55%,3.15,48%,3.47,57%,50%,1.3
