Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Patrick Kaase,win,Jarrod Kwitty,"0
","33
","0
","0
","WEC 24: Full Force
          


          
          Oct. 12, 2006","KO/TKO
",2,2:30
Emily Kagan,loss,Kailin Curran,"0
","22
","1
","0
","UFC Fight Night: Namajunas vs. VanZant
          


          
          Dec. 10, 2015","SUB
",2,4:13
Emily Kagan,loss,Angela Hill,"0
","41
","2
","0
","The Ultimate Fighter: A Champion Will Be Crowned Finale
          


          
          Dec. 12, 2014",U-DEC,3,5:00
Oron Kahlon,loss,Javid Basharat,"0
","12
","0
","0
","DWCS 5.9
          


          
          Oct. 26, 2021","SUB
",3,4:12
 Kaiwen,win,"Kaiwen
          



            DongHyun Seo","1
","28
","0
","0
","Road to UFC 4.1 + 4.2
          


          
          May. 22, 2025","KO/TKO
",2,3:21
 Kaiwen,loss,"Kaiwen
          



             Yizha","0
","9
","1
","0
","Road to UFC 2.7
          



          
          Feb. 03, 2024","SUB
",1,3:03
 Kaiwen,win,"Kaiwen
          



            Koya Kanda","0
","50
","0
","0
","Road to UFC 2.5 + 2.6
          


          
          Aug. 27, 2023",U-DEC,3,5:00
 Kaiwen,win,"Kaiwen
          



            Lu Kai","1
","24
","0
","0
","Road to UFC 2.1 + 2.2
          


          
          May. 27, 2023","KO/TKO
",1,1:11
Sirwan Kakai,loss,Frankie Saenz,"0
","55
","3
","0
","UFC Fight Night: Teixeira vs Saint Preux
          


          
          Aug. 08, 2015",S-DEC,3,5:00
Sirwan Kakai,win,Danny Martinez,"1
","52
","5
","0
","UFC Fight Night: Machida vs Romero
          


          
          Jun. 27, 2015",U-DEC,3,5:00
Saidyokub Kakhramonov,loss,Said Nurmagomedov,"0
","11
","5
","1
","UFC Fight Night: Cannonier vs. Strickland
          


          
          Dec. 17, 2022","SUB
",2,3:50
Saidyokub Kakhramonov,win,Ronnie Lawrence,"0
","32
","10
","0
","UFC Fight Night: Dos Anjos vs. Fiziev
          


          
          Jul. 09, 2022",U-DEC,3,5:00
Saidyokub Kakhramonov,win,Trevin Jones,"0
","36
","2
","4
","UFC Fight Night: Cannonier vs. Gastelum
          


          
          Aug. 21, 2021","SUB
",3,4:39
Geza Kalman,win,Dieusel Berto,"0
","21
","0
","1
","UFC 10: The Tournament
          


          
          Jul. 12, 1996","KO/TKO
",1,5:57
Geza Kalman,loss,Joel Sutton,"--
","--
","--
","--
","UFC 7: The Brawl in Buffalo
          


          
          Sep. 08, 1995",KO/TKO,1,0:48
Bryson Kamaka,loss,Luke Stewart,"0
","3
","0
","0
","Strikeforce - Four Men Enter, One Man Survives
          


          
          Nov. 16, 2007","KO/TKO
",1,0:19
Kai Kamaka,draw,Danny Chavez,"0
","48
","0
","0
","UFC Fight Night: Hall vs. Strickland
          


          
          Jul. 31, 2021",M-DEC,3,5:00
