Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Dong Hyun Ma,loss,Omar Morales,"0
","15
","0
","0
","UFC Fight Night: Edgar vs. The Korean Zombie
          


          
          Dec. 21, 2019",U-DEC,3,5:00
Dong Hyun Ma,loss,Scott Holtzman,"0
","16
","1
","0
","UFC Fight Night: Covington vs. Lawler
          


          
          Aug. 03, 2019",KO/TKO,2,5:00
Dong Hyun Ma,loss,Devonte Smith,"0
","1
","0
","0
","UFC 234: Adesanya vs. Silva
          


          
          Feb. 09, 2019","KO/TKO
",1,3:53
Dong Hyun Ma,win,Damien Brown,"0
","67
","0
","0
","UFC 221: Romero vs. Rockhold
          


          
          Feb. 10, 2018",S-DEC,3,5:00
Dong Hyun Ma,win,Takanori Gomi,"1
","13
","0
","0
","UFC Fight Night: Saint Preux vs. Okami
          


          
          Sep. 22, 2017","KO/TKO
",1,1:30
Dong Hyun Ma,win,Brendan O'Reilly,"0
","21
","4
","0
","The Ultimate Fighter: Tournament of Champions Finale
          


          
          Dec. 03, 2016",U-DEC,3,5:00
Dong Hyun Ma,loss,Marco Polo Reyes,"0
","83
","2
","0
","UFC 199: Rockhold vs. Bisping 2
          


          
          Jun. 04, 2016","KO/TKO
",3,1:52
Dong Hyun Ma,loss,Dominique Steele,"0
","19
","0
","0
","UFC Fight Night: Henderson vs Masvidal
          


          
          Nov. 28, 2015","KO/TKO
",3,0:27
Pawan Maan,loss,Jeka Saragih,"0
","11
","0
","0
","Road to UFC 1.2
          


          
          Jun. 09, 2022","KO/TKO
",3,2:24
William Macario,loss,Matt Dwyer,"0
","8
","0
","0
","UFC Fight Night: Bigfoot vs Mir
          


          
          Feb. 22, 2015","KO/TKO
",1,3:14
William Macario,loss,Neil Magny,"0
","24
","0
","0
","UFC 179: Aldo vs Mendes 2
          


          
          Oct. 25, 2014","KO/TKO
",3,2:40
William Macario,win,Bobby Voelker,"0
","133
","3
","0
","UFC 168: Weidman vs Silva 2
          


          
          Dec. 28, 2013",U-DEC,3,5:00
William Macario,loss,Leonardo Santos,"0
","35
","2
","0
","UFC on FUEL TV: Nogueira vs. Werdum
          



          
          Jun. 08, 2013","SUB
",2,4:43
Jason MacDonald,loss,Tom Lawlor,"0
","1
","0
","0
","UFC on FUEL TV: Korean Zombie vs Poirier
          


          
          May. 15, 2012","KO/TKO
",1,0:50
