Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Raquel Pa'aluhi,loss,Sara McMann,"0
","22
","0
","0
","ProElite 1: Arlovski vs. Lopez
          


          
          Aug. 27, 2011","SUB
",3,2:53
Nick Pace,loss,Miguel Torres,"0
","31
","1
","0
","UFC 139: Shogun vs Henderson
          


          
          Nov. 19, 2011",U-DEC,3,5:00
Nick Pace,loss,Ivan Menjivar,"0
","31
","2
","1
","UFC 133: Evans vs Ortiz 2
          


          
          Aug. 06, 2011",U-DEC,3,5:00
Nick Pace,win,Will Campuzano,"0
","18
","7
","1
","The Ultimate Fighter: Team GSP vs Team Koscheck Finale
          


          
          Dec. 04, 2010","SUB
",3,4:33
Nick Pace,loss,Demetrious Johnson,"0
","8
","0
","0
","WEC 51: Aldo vs. Gamburyan
          


          
          Sep. 30, 2010",U-DEC,3,5:00
Larissa Pacheco,loss,Germaine de Randamie,"0
","8
","0
","0
","UFC 185: Pettis vs Dos Anjos
          


          
          Mar. 14, 2015","KO/TKO
",2,2:02
Larissa Pacheco,loss,Jessica Andrade,"0
","6
","0
","0
","UFC Fight Night: Bigfoot vs Arlovski
          


          
          Sep. 13, 2014","SUB
",1,4:33
Angel Pacheco,loss,Caolan Loughran,"0
","88
","0
","0
","UFC Fight Night: Blanchfield vs. Fiorot
          


          
          Mar. 30, 2024",U-DEC,3,5:00
Angel Pacheco,loss,Danny Silva,"0
","197
","0
","0
","DWCS 7.8
          


          
          Sep. 26, 2023",U-DEC,3,5:00
Teemu Packalen,loss,Ottman Azaitar,"0
","8
","0
","0
","UFC 242: Khabib vs. Poirier
          


          
          Sep. 07, 2019","KO/TKO
",1,3:33
Teemu Packalen,loss,Marc Diakiese,"0
","1
","0
","0
","UFC Fight Night: Manuwa vs. Anderson
          


          
          Mar. 18, 2017","KO/TKO
",1,0:30
Teemu Packalen,win,Thibault Gouti,"1
","6
","0
","1
","UFC Fight Night: Silva vs Bisping
          


          
          Feb. 27, 2016","SUB
",1,0:24
Teemu Packalen,loss,Mickael Lebout,"0
","35
","3
","1
","UFC Fight Night: Bisping vs Leites
          


          
          Jul. 18, 2015",U-DEC,3,5:00
Cyrillo Padilha,loss,Bobby Stack,"--
","--
","--
","--
","Strikeforce - Destruction
          


          
          Nov. 21, 2008",U-DEC,3,5:00
Cyrillo Padilha,win,Jesse Jones,"--
","--
","--
","--
","Strikeforce - Melendez vs. Thomson
          


          
          Jun. 27, 2008",U-DEC,3,3:00
Gary Padilla,loss,Ariel Gandulla,"0
","33
","0
","0
","WEC 27: Marshall vs. McElfresh
          


          
          May. 12, 2007",S-DEC,3,5:00
Fernando Padilla,loss,Sean Woodson,"0
","22
","0
","0
","UFC Fight Night: Covington vs. Buckley
          


          
          Dec. 14, 2024","KO/TKO
",1,4:58
Fernando Padilla,win,Luis Pajuelo,"1
","34
","0
","1
","UFC Fight Night: Ribas vs. Namajunas
          


          
          Mar. 23, 2024","SUB
",1,2:45
Fernando Padilla,loss,Kyle Nelson,"0
","72
","0
","0
","UFC Fight Night: Grasso vs. Shevchenko 2
          


          
          Sep. 16, 2023",U-DEC,3,5:00
Fernando Padilla,win,Julian Erosa,"1
","20
","0
","0
","UFC Fight Night: Song vs. Simon
          


          
          Apr. 29, 2023","KO/TKO
",1,1:41
Chris Padilla,win,Jai Herbert,"0
","39
","0
","0
","UFC Fight Night: Edwards vs. Brady
          


          
          Mar. 22, 2025",S-DEC,3,5:00
Chris Padilla,win,Rongzhu,"0
","68
","0
","0
","UFC Fight Night: Burns vs. Brady
          


          
          Sep. 07, 2024",KO/TKO,2,4:14
Chris Padilla,win,James Llontop,"0
","12
","3
","1
","UFC Fight Night: Nicolau vs. Perez
          


          
          Apr. 27, 2024","SUB
",1,4:33
Damacio Page,loss,Alex Caceres,"0
","7
","2
","0
","UFC on FUEL TV: Munoz vs Weidman
          


          
          Jul. 11, 2012","SUB
",2,1:27
Damacio Page,loss,Brad Pickett,"0
","23
","1
","1
","UFC on FUEL TV: Gustafsson vs Silva
          


          
          Apr. 14, 2012","SUB
",2,4:05
Damacio Page,loss,Brian Bowles,"0
","17
","0
","0
","UFC Live: Sanchez vs Kampmann
          


          
          Mar. 03, 2011","SUB
",1,3:30
Damacio Page,loss,Demetrious Johnson,"0
","12
","4
","0
","WEC 52: Faber vs. Mizugaki
          


          
          Nov. 11, 2010","SUB
",3,2:27
Damacio Page,win,Will Campuzano,"0
","5
","1
","2
","WEC 43: Cerrone vs. Henderson
          


          
          Oct. 10, 2009","SUB
",1,1:02
Damacio Page,win,Marcos Galvao,"1
","7
","0
","0
","WEC 39: Brown vs. Garcia
          


          
          Mar. 01, 2009","KO/TKO
",1,0:18
Damacio Page,loss,Brian Bowles,"0
","14
","0
","0
","WEC 35: Condit vs. Miura
          


          
          Aug. 03, 2008","SUB
",1,3:30
Damacio Page,win,Scott Jorgensen,"0
","20
","1
","0
","WEC 32: Condit vs. Prater
          


          
          Feb. 13, 2008",U-DEC,3,5:00
Michael Page,win,Shara Magomedov,"0
","43
","0
","0
","UFC Fight Night: Adesanya vs. Imavov
          


          
          Feb. 01, 2025",U-DEC,3,5:00
Michael Page,loss,Ian Machado Garry,"0
","21
","0
","0
","UFC 303: Pereira vs. Prochazka 2
          


          
          Jun. 29, 2024",U-DEC,3,5:00
Michael Page,win,Kevin Holland,"0
","41
","0
","0
","UFC 299: O'Malley vs. Vera 2
          


          
          Mar. 09, 2024",U-DEC,3,5:00
Dustin Pague,loss,Kyoji Horiguchi,"0
","9
","1
","1
","UFC 166: Velasquez vs Dos Santos 3
          


          
          Oct. 19, 2013","KO/TKO
",2,3:51
Dustin Pague,loss,Yves Jabouin,"0
","15
","1
","7
","UFC 161: Evans vs Henderson
          


          
          Jun. 15, 2013",S-DEC,3,5:00
Dustin Pague,loss,Chico Camus,"0
","22
","1
","1
","UFC 150: Henderson vs Edgar II
          


          
          Aug. 11, 2012",U-DEC,3,5:00
Dustin Pague,loss,Ken Stone,"0
","41
","0
","0
","UFC on FX: Maynard vs Guida
          


          
          Jun. 22, 2012",S-DEC,3,5:00
Dustin Pague,win,Jared Papazian,"0
","6
","1
","1
","UFC on FX: Johnson vs McCall
          


          
          Jun. 08, 2012","SUB
",1,3:21
Dustin Pague,loss,John Albert,"0
","3
","0
","0
","The Ultimate Fighter: Team Bisping vs Team Miller Finale
          


          
          Dec. 03, 2011","KO/TKO
",1,1:09
Raulian Paiva,loss,Sergey Morozov,"0
","63
","1
","0
","UFC Fight Night: Tsarukyan vs. Gamrot
          


          
          Jun. 25, 2022",U-DEC,3,5:00
Raulian Paiva,loss,Sean O'Malley,"0
","11
","0
","0
","UFC 269: Oliveira vs. Poirier
          


          
          Dec. 11, 2021","KO/TKO
",1,4:42
Raulian Paiva,win,Kyler Phillips,"0
","51
","2
","0
","UFC Fight Night: Sandhagen vs. Dillashaw
          


          
          Jul. 24, 2021",M-DEC,3,5:00
Raulian Paiva,win,Zhalgas Zhumagulov,"0
","52
","0
","0
","UFC 251: Usman vs. Masvidal
          


          
          Jul. 11, 2020",U-DEC,3,5:00
Raulian Paiva,win,Mark De La Rosa,"1
","54
","0
","0
","UFC Fight Night: Anderson vs. Blachowicz
          


          
          Feb. 15, 2020","KO/TKO
",2,4:42
Raulian Paiva,loss,Rogerio Bontorin,"0
","3
","0
","0
","UFC Fight Night: Shevchenko vs. Carmouche 2
          


          
          Aug. 10, 2019",KO/TKO,1,2:56
Raulian Paiva,loss,Kai Kara-France,"0
","67
","0
","1
","UFC 234: Adesanya vs. Silva
          


          
          Feb. 09, 2019",S-DEC,3,5:00
Raulian Paiva,win,Allan Nascimento,"0
","81
","1
","0
","DWCS Brazil 1.3
          


          
          Aug. 12, 2018",S-DEC,3,5:00
Dinis Paiva Jr.,loss,Kyle Driscoll,"1
","39
","0
","0
","DWCS 4.7
          


          
          Sep. 15, 2020",U-DEC,3,5:00
Fredson Paixao,loss,Pablo Garza,"0
","1
","0
","0
","The Ultimate Fighter: Team GSP vs Team Koscheck Finale
          


          
          Dec. 04, 2010","KO/TKO
",1,0:51
Fredson Paixao,win,Bryan Caraway,"0
","40
","1
","2
","WEC 50: Cruz vs. Benavidez
          


          
          Aug. 18, 2010",S-DEC,3,5:00
Fredson Paixao,win,Courtney Buck,"0
","1
","1
","1
","WEC 47: Bowles vs. Cruz
          


          
          Mar. 06, 2010","SUB
",1,2:39
Fredson Paixao,loss,Cole Province,"0
","28
","0
","3
","WEC 42: Torres vs. Bowles
          


          
          Aug. 09, 2009",U-DEC,3,5:00
Fredson Paixao,loss,Wagnney Fabiano,"0
","13
","0
","1
","WEC 40: Torres vs. Mizugaki
          


          
          Apr. 05, 2009",U-DEC,3,5:00
Luis Pajuelo,loss,Fernando Padilla,"0
","5
","0
","0
","UFC Fight Night: Ribas vs. Namajunas
          


          
          Mar. 23, 2024","SUB
",1,2:45
Luis Pajuelo,win,Robbie Ring,"0
","34
","0
","0
","DWCS 7.3
          


          
          Aug. 22, 2023","KO/TKO
",1,3:43
Jose Palacios,loss,Alvin Cacdac,"--
","--
","--
","--
","Strikeforce - Destruction
          


          
          Nov. 21, 2008","SUB
",2,3:10
Jose Palacios,loss,Bobby Stack,"0
","24
","0
","1
","Strikeforce - Melendez vs. Thomson
          


          
          Jun. 27, 2008",U-DEC,3,3:00
Jose Palacios,win,Miguel Linares,"--
","--
","--
","--
","Strikeforce - Young Guns
          


          
          Feb. 10, 2007",U-DEC,3,3:00
Ricky Palacios,win,Toby Misech,"0
","116
","0
","0
","DWCS 2.4
          


          
          Jul. 10, 2018",U-DEC,3,5:00
Bart Palaszewski,loss,Cole Miller,"0
","18
","0
","0
","The Ultimate Fighter: Team Jones vs. Team Sonnen Finale
          


          
          Apr. 13, 2013","SUB
",1,4:23
Bart Palaszewski,loss,Diego Nunes,"0
","37
","0
","2
","UFC on FX: Browne vs Bigfoot
          


          
          Oct. 05, 2012",U-DEC,3,5:00
Bart Palaszewski,loss,Hatsu Hioki,"0
","26
","0
","1
","UFC 144: Edgar vs Henderson
          


          
          Feb. 25, 2012",U-DEC,3,5:00
Bart Palaszewski,win,Tyson Griffin,"1
","17
","0
","0
","UFC 137: Penn vs Diaz
          


          
          Oct. 29, 2011","KO/TKO
",1,2:45
Bart Palaszewski,loss,Kamal Shalorus,"0
","51
","0
","0
","WEC 53: Henderson vs. Pettis
          


          
          Dec. 16, 2010",S-DEC,3,5:00
Bart Palaszewski,win,Zachary Micklewright,"1
","27
","0
","0
","WEC 50: Cruz vs. Benavidez
          


          
          Aug. 18, 2010","KO/TKO
",2,0:31
Bart Palaszewski,win,Karen Darabedyan,"0
","3
","0
","1
","WEC 47: Bowles vs. Cruz
          


          
          Mar. 06, 2010","SUB
",1,4:40
Bart Palaszewski,win,Anthony Pettis,"0
","29
","1
","0
","WEC 45: Cerrone vs. Ratcliff
          


          
          Dec. 19, 2009",S-DEC,3,5:00
Bart Palaszewski,loss,Anthony Njokuani,"0
","7
","2
","0
","WEC 40: Torres vs. Mizugaki
          


          
          Apr. 05, 2009","KO/TKO
",2,0:27
Bart Palaszewski,loss,Ricardo Lamas,"0
","27
","0
","0
","WEC 39: Brown vs. Garcia
          


          
          Mar. 01, 2009",U-DEC,3,5:00
Bart Palaszewski,win,Alex Karalexis,"2
","26
","0
","0
","WEC 37: Torres vs. Tapia
          


          
          Dec. 03, 2008","KO/TKO
",2,1:11
Bart Palaszewski,loss,Chris Horodecki,"0
","42
","2
","0
","IFL - World Grand Prix Semifinals
          


          
          Nov. 03, 2007",S-DEC,3,4:00
Sasha Palatnikov,loss,Ramiz Brahimaj,"0
","1
","0
","0
","UFC Fight Night: Cannonier vs. Gastelum
          


          
          Aug. 21, 2021","SUB
",1,2:33
Sasha Palatnikov,loss,Impa Kasanganay,"0
","13
","0
","0
","UFC Fight Night: Vettori vs. Holland
          


          
          Apr. 10, 2021","SUB
",2,0:26
Sasha Palatnikov,win,Louis Cosce,"0
","125
","1
","0
","UFC 255: Figueiredo vs. Perez
          


          
          Nov. 21, 2020","KO/TKO
",3,2:47
Soa Palelei,loss,Antonio Silva,"0
","19
","1
","0
","UFC 190: Rousey vs Correia
          


          
          Aug. 01, 2015","KO/TKO
",2,0:41
Soa Palelei,win,Walt Harris,"0
","24
","1
","0
","UFC Fight Night: Rockhold vs Bisping
          


          
          Nov. 07, 2014","KO/TKO
",2,4:49
Soa Palelei,loss,Jared Rosholt,"0
","11
","0
","0
","UFC Fight Night: Te Huna vs Marquardt
          


          
          Jun. 28, 2014",U-DEC,3,5:00
Soa Palelei,win,Ruan Potts,"0
","5
","1
","0
","UFC Fight Night: Brown vs Silva
          


          
          May. 10, 2014","KO/TKO
",1,2:20
Soa Palelei,win,Pat Barry,"0
","12
","1
","0
","UFC Fight Night: Hunt vs Bigfoot
          


          
          Dec. 06, 2013","KO/TKO
",1,2:09
Soa Palelei,win,Nikita Krylov,"0
","29
","4
","0
","UFC 164: Henderson vs Pettis 2
          


          
          Aug. 31, 2013","KO/TKO
",3,1:34
Soa Palelei,loss,Eddie Sanchez,"0
","21
","1
","0
","UFC 79: Nemesis
          


          
          Dec. 29, 2007","KO/TKO
",3,3:24
Soa Palelei,loss,Mu Bae Choi,"0
","64
","2
","0
","PRIDE 28: High Octane
          


          
          Oct. 31, 2004","SUB
",2,4:55
Rousimar Palhares,win,Mike Pierce,"0
","0
","0
","2
","UFC Fight Night: Maia vs Shields
          


          
          Oct. 09, 2013","SUB
",1,0:31
Rousimar Palhares,loss,Hector Lombard,"0
","6
","0
","0
","UFC on FX: Sotiropoulos vs Pearson
          


          
          Dec. 14, 2012","KO/TKO
",1,3:38
Rousimar Palhares,loss,Alan Belcher,"0
","0
","1
","1
","UFC on FOX: Diaz vs Miller
          


          
          May. 05, 2012","KO/TKO
",1,4:18
Rousimar Palhares,win,Mike Massenzio,"0
","4
","0
","1
","UFC 142: Aldo vs Mendes
          


          
          Jan. 14, 2012","SUB
",1,1:03
Rousimar Palhares,win,Dan Miller,"1
","67
","2
","0
","UFC 134: Silva vs Okami
          


          
          Aug. 27, 2011",U-DEC,3,5:00
Rousimar Palhares,win,David Branch,"0
","2
","0
","3
","UFC Live: Sanchez vs Kampmann
          


          
          Mar. 03, 2011","SUB
",2,1:44
Rousimar Palhares,loss,Nate Marquardt,"0
","1
","0
","1
","UFC Fight Night: Marquardt vs Palhares
          


          
          Sep. 15, 2010","KO/TKO
",1,3:28
Rousimar Palhares,win,Tomasz Drwal,"0
","0
","0
","1
","UFC 111: St-Pierre vs Hardy
          


          
          Mar. 27, 2010","SUB
",1,0:45
Rousimar Palhares,win,Lucio Linhares,"0
","6
","1
","3
","UFC 107: Penn vs Sanchez
          


          
          Dec. 12, 2009","SUB
",2,3:21
Rousimar Palhares,win,Jeremy Horn,"0
","18
","7
","0
","UFC 93: Franklin vs Henderson
          


          
          Jan. 17, 2009",U-DEC,3,5:00
Rousimar Palhares,loss,Dan Henderson,"0
","27
","2
","1
","UFC 88: Breakthrough
          


          
          Sep. 06, 2008",U-DEC,3,5:00
Rousimar Palhares,win,Ivan Salaverry,"0
","0
","1
","3
","UFC 84: Ill Will
          


          
          May. 24, 2008","SUB
",1,2:36
Rousimar Palhares,win,Daniel Acacio,"0
","6
","2
","1
","Fury FC 5: Final Conflict
          


          
          Dec. 06, 2007","SUB
",1,1:22
Rousimar Palhares,win,Fabio Nascimento,"0
","6
","3
","1
","Fury FC 5: Final Conflict
          


          
          Dec. 06, 2007","SUB
",1,2:43
Rousimar Palhares,win,Flavio Luiz Moura,"0
","0
","1
","2
","Fury FC 4: High Voltage
          


          
          Aug. 04, 2007","SUB
",1,1:29
Rousimar Palhares,win,Helio Dipp,"0
","3
","1
","2
","Floripa Fight 4
          


          
          Mar. 10, 2007","SUB
",1,1:40
Rousimar Palhares,win,Claudio Mattos,"0
","1
","1
","1
","Storm Samurai 12
          


          
          Nov. 25, 2006","SUB
",1,0:17
Tulio Palhares,win,Adriano Santos,"0
","31
","4
","0
","UFC - Ultimate Brazil
          


          
          Oct. 16, 1998","KO/TKO
",1,9:00
Stephen Palling,loss,Joao Roque,"--
","--
","--
","--
","WFA 1
          


          
          Nov. 03, 2001","SUB
",1,1:29
Eduardo Pamplona,loss,Tyler Stinson,"--
","--
","--
","--
","Strikeforce - Fedor vs. Henderson
          


          
          Jul. 30, 2011",KO/TKO,1,0:15
Eduardo Pamplona,win,Jerron Peoples,"--
","--
","--
","--
","Strikeforce Challengers 16
          


          
          Jun. 24, 2011",KO/TKO,1,2:40
Ruel Panales,loss,Kiru Sahota,"0
","38
","1
","0
","Road to UFC 3.5 + 3.6
          


          
          Aug. 23, 2024",U-DEC,3,5:00
Yuri Panferov,loss,Torrez Finney,"0
","18
","0
","0
","DWCS 7.10
          


          
          Oct. 10, 2023","SUB
",2,2:43
Alexandre Pantoja,win,Kai Asakura,"0
","32
","3
","1
","UFC 310: Pantoja vs. Asakura
          



          
          Dec. 07, 2024","SUB
",2,2:05
Alexandre Pantoja,win,Steve Erceg,"0
","125
","9
","0
","UFC 301: Pantoja vs. Erceg
          



          
          May. 04, 2024",U-DEC,5,5:00
Alexandre Pantoja,win,Brandon Royval,"0
","95
","8
","1
","UFC 296: Edwards vs. Covington
          



          
          Dec. 16, 2023",U-DEC,5,5:00
Alexandre Pantoja,win,Brandon Moreno,"1
","129
","6
","0
","UFC 290: Volkanovski vs. Rodriguez
          



          
          Jul. 08, 2023",S-DEC,5,5:00
Alexandre Pantoja,win,Alex Perez,"0
","8
","1
","1
","UFC 277: Pena vs. Nunes 2
          


          
          Jul. 30, 2022","SUB
",1,1:31
Alexandre Pantoja,win,Brandon Royval,"0
","22
","3
","2
","UFC Fight Night: Cannonier vs. Gastelum
          


          
          Aug. 21, 2021","SUB
",2,1:46
Alexandre Pantoja,win,Manel Kape,"0
","74
","0
","0
","UFC Fight Night: Overeem vs. Volkov
          


          
          Feb. 06, 2021",U-DEC,3,5:00
Alexandre Pantoja,loss,Askar Askarov,"0
","32
","1
","0
","UFC Fight Night: Figueiredo vs. Benavidez 2
          


          
          Jul. 18, 2020",U-DEC,3,5:00
Alexandre Pantoja,win,Matt Schnell,"1
","34
","1
","0
","UFC Fight Night: Edgar vs. The Korean Zombie
          


          
          Dec. 21, 2019","KO/TKO
",1,4:17
