Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Yusup Saadulaev,win,Hideo Tokoro,"0
","6
","2
","0
","DREAM - New Year! 2011
          


          
          Dec. 31, 2011","KO/TKO
",1,0:42
Yusup Saadulaev,loss,Rodolfo Marques Diniz,"0
","3
","4
","1
","DREAM 17
          


          
          Sep. 24, 2011",U-DEC,3,5:00
Cameron Saaiman,loss,Malcolm Wellmaker,"0
","9
","0
","0
","UFC Fight Night: Machado Garry vs. Prates
          


          
          Apr. 26, 2025","KO/TKO
",1,1:59
Cameron Saaiman,loss,Payton Talbott,"0
","31
","0
","0
","UFC Fight Night: Ribas vs. Namajunas
          


          
          Mar. 23, 2024","KO/TKO
",2,0:21
Cameron Saaiman,loss,Christian Rodriguez,"0
","73
","0
","1
","UFC Fight Night: Yusuff vs. Barboza
          


          
          Oct. 14, 2023",U-DEC,3,5:00
Cameron Saaiman,win,Terrence Mitchell,"0
","18
","2
","1
","UFC 290: Volkanovski vs. Rodriguez
          


          
          Jul. 08, 2023","KO/TKO
",1,3:10
Cameron Saaiman,win,Mana Martinez,"1
","117
","1
","0
","UFC 285: Jones vs. Gane
          


          
          Mar. 04, 2023",M-DEC,3,5:00
Cameron Saaiman,win,Steven Koslow,"0
","53
","0
","0
","UFC 282: Blachowicz vs. Ankalaev
          


          
          Dec. 10, 2022","KO/TKO
",3,4:13
Cameron Saaiman,win,Joshua Wang-Kim,"1
","57
","1
","1
","DWCS 6.5
          


          
          Aug. 23, 2022","KO/TKO
",3,2:52
Pete Sabala,loss,Anthony Figueroa,"--
","--
","--
","--
","Strikeforce - Four Men Enter, One Man Survives
          


          
          Nov. 16, 2007",S-DEC,3,5:00
Danny Sabatello,win,Taylor Moore,"0
","31
","3
","1
","DWCS 4.9
          


          
          Nov. 10, 2020",U-DEC,3,5:00
Pat Sabatini,win,Joanderson Brito,"0
","24
","4
","1
","UFC Fight Night: Emmett vs. Murphy
          


          
          Apr. 05, 2025",U-DEC,3,5:00
Pat Sabatini,win,Jonathan Pearce,"0
","3
","2
","1
","UFC Fight Night: Royval vs. Taira
          


          
          Oct. 12, 2024","SUB
",1,4:06
Pat Sabatini,loss,Diego Lopes,"0
","7
","0
","0
","UFC 295: Prochazka vs. Pereira
          


          
          Nov. 11, 2023","KO/TKO
",1,1:30
Pat Sabatini,win,Lucas Almeida,"0
","27
","2
","1
","UFC Fight Night: Vettori vs. Cannonier
          


          
          Jun. 17, 2023","SUB
",2,1:48
Pat Sabatini,loss,Damon Jackson,"0
","1
","0
","0
","UFC Fight Night: Sandhagen vs. Song
          


          
          Sep. 17, 2022","KO/TKO
",1,1:09
Pat Sabatini,win,TJ Laramie,"0
","36
","6
","0
","UFC Fight Night: Luque vs. Muhammad
          


          
          Apr. 16, 2022",U-DEC,3,5:00
Pat Sabatini,win,Tucker Lutz,"0
","16
","5
","3
","UFC Fight Night: Vieira vs. Tate
          


          
          Nov. 20, 2021",U-DEC,3,5:00
Pat Sabatini,win,Jamall Emmers,"0
","1
","0
","2
","UFC Fight Night: Barboza vs. Chikadze
          


          
          Aug. 28, 2021","SUB
",1,1:53
Pat Sabatini,win,Tristan Connelly,"1
","26
","1
","1
","UFC 261: Usman vs. Masvidal 2
          


          
          Apr. 24, 2021",U-DEC,3,5:00
Amir Sadollah,loss,Yoshihiro Akiyama,"0
","42
","0
","0
","UFC Fight Night: Hunt vs Nelson
          


          
          Sep. 20, 2014",U-DEC,3,5:00
Amir Sadollah,loss,Dan Hardy,"0
","61
","0
","0
","UFC on FUEL TV: Struve vs Miocic
          


          
          Sep. 29, 2012",U-DEC,3,5:00
Amir Sadollah,win,Jorge Lopez,"0
","36
","1
","1
","UFC on FUEL TV: Korean Zombie vs Poirier
          


          
          May. 15, 2012",S-DEC,3,5:00
Amir Sadollah,loss,Duane Ludwig,"0
","95
","0
","0
","UFC Live: Hardy vs Lytle
          


          
          Aug. 14, 2011",U-DEC,3,5:00
