Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Tom Aaron,loss,Matt Ricehouse,--,--,--,--,"Strikeforce - Henderson vs. Babalu                                   Dec. 04, 2010",U-DEC,3,5:00
Tom Aaron,win,Eric Steenberg,--,--,--,--,"Strikeforce - Heavy Artillery                                   May. 15, 2010",SUB,1,0:56
Danny Abbadi,loss,Jorge Gurgel,0,56,0,0,"UFC 63: Hughes vs Penn                                   Sep. 23, 2006",S-DEC,3,5:00
Danny Abbadi,loss,Kalib Starnes,0,3,0,0,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale                                   Jun. 24, 2006",SUB,1,2:56
Nariman Abbasov,loss,Ismael Bonfim,0,45,0,0,"DWCS 6.7                                   Sep. 06, 2022",U-DEC,3,5:00
David Abbott,loss,Kevin Ferguson,0,1,0,0,"EliteXC - Street Certified                                   Feb. 16, 2008",KO/TKO,1,0:43
David Abbott,loss,Paul Buentello,0,4,0,0,"Strikeforce - Tank vs. Buentello                                   Oct. 07, 2006",KO/TKO,1,0:43
David Abbott,loss,Hidehiko Yoshida,0,2,1,0,"PRIDE Final Conflict 2005                                   Aug. 28, 2005",SUB,1,7:40
David Abbott,loss,Wesley Correira,0,11,0,0,"UFC 45: Revolution                                   Nov. 21, 2003",KO/TKO,1,2:14
David Abbott,loss,Kimo Leopoldo,0,0,0,0,"UFC 43: Meltdown                                   Jun. 06, 2003",SUB,1,1:59
David Abbott,loss,Frank Mir,0,1,0,0,"UFC 41: Onslaught                                   Feb. 28, 2003",SUB,1,0:46
David Abbott,loss,Pedro Rizzo,0,16,1,0,"UFC - Ultimate Brazil                                   Oct. 16, 1998",KO/TKO,1,8:07
David Abbott,win,Hugo Duarte,0,11,0,0,"UFC 17: Redemption                                   May. 15, 1998",KO/TKO,1,0:43
David Abbott,win,Yoji Anjo,0,13,3,0,"UFC - Ultimate Japan                                   Dec. 21, 1997",U-DEC,2,3:00
David Abbott,loss,Maurice Smith,1,5,0,0,"UFC 15: Collision Course                                    Oct. 17, 1997",SUB,1,8:08
David Abbott,loss,Vitor Belfort,0,2,0,0,"UFC 13: The Ultimate Force                                   May. 30, 1997",KO/TKO,1,0:52
David Abbott,loss,Don Frye,0,13,0,0,"UFC - Ultimate Ultimate '96                                    Dec. 07, 1996",SUB,1,1:22
David Abbott,win,Steve Nelmark,1,9,1,0,"UFC - Ultimate Ultimate '96                                   Dec. 07, 1996",KO/TKO,1,1:03
David Abbott,win,Cal Worsham,0,4,0,1,"UFC - Ultimate Ultimate '96                                   Dec. 07, 1996",KO/TKO,1,2:51
David Abbott,loss,Scott Ferrozzo,0,21,0,0,"UFC 11: The Proving Ground                                   Sep. 20, 1996",U-DEC,2,3:00
David Abbott,win,Sam Adkins,0,8,1,1,"UFC 11: The Proving Ground                                   Sep. 20, 1996",SUB,1,2:06
David Abbott,loss,Dan Severn,0,3,0,0,"UFC - Ultimate Ultimate '95                                   Dec. 16, 1995",U-DEC,1,18:00
David Abbott,win,Steve Jennum,0,1,1,1,"UFC - Ultimate Ultimate '95                                   Dec. 16, 1995",SUB,1,1:14
David Abbott,loss,Oleg Taktarov,0,17,2,1,"UFC 6: Clash of the Titans                                    Jul. 14, 1995",SUB,1,17:45
David Abbott,win,Paul Varelans,0,14,1,0,"UFC 6: Clash of the Titans                                   Jul. 14, 1995",KO/TKO,1,1:53
David Abbott,win,John Matua,2,7,0,0,"UFC 6: Clash of the Titans                                   Jul. 14, 1995",KO/TKO,1,0:20
Hamdy Abdelwahab,win,Jamal Pogues,0,44,1,0,"UFC Fight Night: Adesanya vs. Imavov                                   Feb. 01, 2025",S-DEC,3,5:00
Hamdy Abdelwahab,nc,Don'Tale Mayes,1,58,3,0,"UFC 277: Pena vs. Nunes 2                                   Jul. 30, 2022",Overturned,3,5:00
Mansur Abdul-Malik,win,Nick Klein,0,29,1,0,"UFC Fight Night: Cejudo vs. Song                                   Feb. 22, 2025",KO/TKO,2,3:24
Mansur Abdul-Malik,win,Dusko Todorovic,1,29,0,0,"UFC Fight Night: Magny vs. Prates                                   Nov. 09, 2024",KO/TKO,1,2:44
Mansur Abdul-Malik,win,Wes Schultz,0,48,0,0,"DWCS 8.1                                   Aug. 13, 2024",KO/TKO,2,3:55
Shamil Abdurakhimov,loss,Jailton Almeida,0,1,0,0,"UFC 283: Teixeira vs. Hill                                   Jan. 21, 2023",KO/TKO,2,2:56
Shamil Abdurakhimov,loss,Sergei Pavlovich,0,17,0,0,"UFC Fight Night: Volkov vs. Aspinall                                   Mar. 19, 2022",KO/TKO,1,4:03
Shamil Abdurakhimov,loss,Chris Daukaus,0,23,0,0,"UFC 266: Volkanovski vs. Ortega                                   Sep. 25, 2021",KO/TKO,2,1:23
Shamil Abdurakhimov,loss,Curtis Blaydes,0,3,0,0,"UFC 242: Khabib vs. Poirier                                   Sep. 07, 2019",KO/TKO,2,2:22
Shamil Abdurakhimov,win,Marcin Tybura,1,36,0,0,"UFC Fight Night: Overeem vs. Oleinik                                   Apr. 20, 2019",KO/TKO,2,3:15
Shamil Abdurakhimov,win,Andrei Arlovski,0,32,2,0,"UFC Fight Night: Hunt vs. Oleinik                                   Sep. 15, 2018",U-DEC,3,5:00
